Abr.,Canton,Depuis,Chef-lieu,"Population
(décembre 2016)","Population
(en % du total suisse)","Superficie
(en km²)","Superficie
(en % du total suisse)","Densité
(enhab./km²)","Nombre de
communes",Langues officielles
ZH,Zurich,1351,Zurich,1 487 969,"18,3",1 729,"4,2","860,6",166,allemand
BE,Berne,1353,Berne,1 026 513,"12,6","5 959,44","14,4","172,2",347,"allemand,
français"
LU,Lucerne,1332,Lucerne,403 397,5,"1 493,44","3,6","270,1",83,allemand
UR,Uri,1291,Altdorf,36 145,"0,4","1 076,57","2,6","33,6",20,allemand
SZ,Schwytz,1291,Schwytz,155 863,"1,9","906,92","2,2","171,9",30,allemand
OW,Obwald,1291,Sarnen,37 378,"0,5","490,59","1,2","76,2",7,allemand
NW,Nidwald,1291,Stans,42 556,"0,5","275,9","0,7","154,2",11,allemand
GL,Glaris,1352,Glaris,40 147,"0,5","685,3","1,7","58,6",3,allemand
ZG,Zoug,1352,Zoug,123 948,"1,5","238,69","0,6","519,3",11,allemand
FR,Fribourg,1481,Fribourg,311 914,"3,8","1 670,7",4,"186,7",136,"français,
allemand"
SO,Soleure,1481,Soleure,269 441,"3,3","790,49","1,9","340,9",109,allemand
BS,Bâle-Ville,1501,Bâle,198 249,"2,4",37,"0,1","5 358,1",3,allemand
BL,Bâle-Campagne,1501,Liestal,286 848,"3,5","517,56","1,3","554,2",86,allemand
SH,Schaffhouse,1501,Schaffhouse,80 769,1,"298,42","0,7","270,7",26,allemand
AR,Appenzell Rhodes-Extérieures,1513,Herisau13,54 954,"0,7","242,86","0,6","226,3",20,allemand
AI,Appenzell Rhodes-Intérieures,1513,Appenzell,16 003,"0,2","172,52","0,4","92,8",6,allemand
SG,Saint-Gall,1803,Saint-Gall,502 552,"6,2","2 025,54","4,9","248,1",77,allemand
GR,Grisons,1803,Coire,197 550,"2,4","7 105,44","17,2","27,8",108,"allemand,
romanche,
italien"
AG,Argovie,1803,Aarau,662 224,"8,1","1 403,73","3,4","471,8",212,allemand
TG,Thurgovie,1803,Frauenfeld,270 709,"3,3","991,02","2,4","273,2",80,allemand
TI,Tessin,1803,Bellinzone,354 375,"4,4","2 812,2","6,8",126,115,italien
VD,Vaud,1803,Lausanne,784 822,"9,6","3 212,03","7,8","244,3",309,français
VS,Valais,1815,Sion,339 176,"4,2","5 224,25","12,7","64,9",126,"français,
allemand"
NE,Neuchâtel,1815,Neuchâtel,178 567,"2,2","802,93","1,9","222,4",31,français
GE,Genève,1815,Genève,495 325,"6,1","282,48","0,7","1 753,5",45,français
JU,Jura,1979,Delémont,73 122,"0,9","838,55",2,"87,2",55,"français,
allemand"